"HolderAddress","Balance","PendingBalanceUpdate"
"0xfadfcb891c66c2d33d6dd02aff9248835f05ca56","3016800086.55979","No"
"0x57197aac4df8c90fdd3c1721e6a7336de4ccce0e","9670251","No"
"0x83d909695ca215990e888c77ca3e3ca53b8457b5","10000000","No"
"0xc17ad5decc29f04f43ce1a6babd695d090132d70","21505377","No"
"0x9aeb85a79f043eb8d8991e57bb43e12efa534270","16270251","No"
"0x58d0daea57775439f0e2572eec1e914978642d67","6428635269.58464","No"
"0x9e1c619e92b3e4831ce18d6362355f517017b27c","9670251","No"
"0x9265801970b1fd70c810db8e563105dda0c011ff","16922939","No"
"0x78e4e6c0f8c2cdcd91b1e5225b5e33ab32a4b26a","9670251","No"
"0xc36d36e7aa1dbd9ecb42a3924eb21953a757a3e3","16922939","No"
"0x6635536a2e634b917af4e6d935fa2cc3fa1d5121","18373477","No"
"0x51e64891e8b87c923052bd06778463ff2b0b1eab","9670251","No"
"0x3c0770230e28e82b947cd08711ee13c31dc3b3c8","1515000000","No"
"0x3a37c297dcb086f1aeb32fc5219ba9fc2792a333","9670251","No"
"0x4ce6a790c514bcbb81faec20f4651820ebb63791","9670251","No"
"0x9cabd8c2e8f7d74d75e20635e5898ee5ecf98fa3","16670251","No"
"0xa884b969aa0a34a9ae211376b6017d6e3c6f4fb9","9670251","No"
"0x123851475821bbd41d6864adc96e0b4b694d46b3","9670251","No"
"0x010caadc406f50c16d241a1c9491376948f48006","9670251","No"
"0x25cf0bfda167f5ade84af322fb511b089a6dddfb","9670251","No"
"0xaee2770de911b3b0eedfe0d92de43953b557f35f","9670251","No"
"0xed4fa8d56426014be44864eeb7d396c6606c41b7","23270251","No"
"0xa8ade24b0f4d8a2c15b77fc5d28552fee87657ba","16922939","No"
"0xe2688ce06ec8026399ab78adb6155684315f3ede","9670251","No"
"0xacfb40c3bc394d6d4435f48236defc85c66e759d","9670251","No"
"0x018ec7aab875cd3871c31a5c47b598fa0d4c71b5","1362.49852508424","No"
"0xe37a078bd7d2f4e7e4c16c8f336d3eb987f0bf45","50003104.3131053","No"
"0x3fe1f326f7fdacde9f0521d82d78f037c1c73870","9670251","No"
"0x63c1c4d92b1da90bb533a02389cd714e8615aeec","12170251","No"
"0x62348764a99dd507395e476e3f05081c1dbcbfdb","15594591935.28","No"
"0x70c1b9bfce3ed18383549a95be4dd08b7dbff7d4","136139200","No"
"0xf9c87c504fcfd9bb40b5c7087ae157d23509b0cd","1745141964.70424","No"
"0xb4a0b553b75cbbc5d4a8b558196990e17e4af455","2454077146.60774","No"
"0xec926321f76beff5690aacb4e664db2d3b7d751d","18373477","No"
"0xe4f64f6477a7151aa40e349c38e34c8f57e2273f","1159668227.33785","No"
"0x3197bb98758ab890815f2173dff93800a44ff485","16922939","No"
"0xd52c4e5511e07c376a308f8338a7d04b7d2ef94a","610441818.280666","No"
"0x52329bf439af2381ec3a22cf702d9f82562f820f","10000008904.0296","No"
"0xee29fbd4a76ea629d9b033870fbd386c74b94f64","0.000349107006278495","No"
"0x7344f0d5f0d72b631361e38ce941c6fa5828ac73","2605698103.8149","No"
"0x929c06ec76edd20e8f9a31092dda635c84a4addd","5269409.66201763","No"
"0x97f632877533132c0373b0208c8b4eb7995593dc","9670251","No"
"0xe2181c80b82b0217e6be272ac93043b5242fd590","9670251","No"
"0x169bf1b41bb55d1adfd67643571287b8084264f4","10192922299.4844","No"
